procedure_sk,cpt_code,description,category,status
277,0053T,"Replacement or repair of implantable component or components of total replacement heart system (artificial heart), excluding thoracic unit ",CARD,No change
278,33509,Endoscopic harvest of single upper extremity artery segment for coronary artery bypass procedure,CBGB,No change
279,33510,"Coronary artery bypass, vein only; single coronary venous graft",CBGB,No Change
280,33511,"Coronary artery bypass, vein only; 2 coronary venous grafts",CBGB,No Change
281,33512,"Coronary artery bypass, vein only; 3 coronary venous grafts",CBGB,No Change
282,33513,"Coronary artery bypass, vein only; 4 coronary venous grafts",CBGB,No Change
283,33514,"Coronary artery bypass, vein only; 5 coronary venous grafts",CBGB,No Change
284,33516,"Coronary artery bypass, vein only; 6 or more coronary venous grafts",CBGB,No Change
285,35600,"Harvest of upper extremity artery, 1 segment, for coronary artery bypass procedure, open",CBGB,No change
286,33533,"Coronary artery bypass, using arterial graft(s); single arterial graft",CBGC,No Change
287,33534,"Coronary artery bypass, using arterial graft(s); 2 coronary arterial grafts",CBGC,No Change
288,33535,"Coronary artery bypass, using arterial graft(s); 3 coronary arterial grafts",CBGC,No Change
289,33536,"Coronary artery bypass, using arterial graft(s);  4 or more coronary arterial grafts",CBGC,No Change
290,35301,"Thromboendarterectomy, including patch graft, if performed; carotid, vertebral, subclavian, by neck incision",CEA,No Change
291,35390,"Reoperation, carotid, thromboendarterectomy, more than 1 month after original operation (List separately in No changeition to code for primary procedure)",CEA,No Change
292,47480,"Cholecystotomy or cholecystostomy, open, with exploration, drainage, or removal of calculus (separate procedure)",CHOL,No Change
293,47562,"Laparoscopy, surgical; cholecystectomy",CHOL,No Change
294,47563,"Laparoscopy, surgical; cholecystectomy with cholangiography",CHOL,No Change
295,47564,"Laparoscopy, surgical; cholecystectomy with exploration of common duct ",CHOL,No Change
296,47570,"Laparoscopy, surgical; cholecystoenterostomy ",CHOL,No Change
297,47600,Cholecystectomy;,CHOL,No Change
298,47605,Cholecystectomy; with cholangiography,CHOL,No Change
299,47610,Cholecystectomy with exploration of common duct; ,CHOL,No Change
300,47612,Cholecystectomy with exploration of common duct; with choledochoenterostomy ,CHOL,No Change
301,47620,"Cholecystectomy with exploration of common duct; with transduodenal sphincterotomy or sphincteroplasty, with or without cholangiography ",CHOL,No Change
302,47720,Cholecystoenterostomy; direct ,CHOL,No Change
303,47721,Cholecystoenterostomy; with gastroenterostomy ,CHOL,No Change
304,47740,Cholecystoenterostomy; Roux-en-Y ,CHOL,No Change
305,47741,Cholecystoenterostomy; Roux-en-Y with gastroenterostomy ,CHOL,No Change
306,44025,"Colotomy, for exploration, biopsy(s), or foreign body removal",COLO,No Change
307,44110,"Excision of 1 or more lesions of small or large intestine not requiring anastomosis, exteriorization, or fistulization; single enterotomy",COLO,No Change
308,44111,"Excision of 1 or more lesions of small or large intestine not requiring anastomosis, exteriorization, or fistulization; multiple enterotomies",COLO,No Change
309,44137,"Removal of transplanted intestinal allograft, complete",COLO,No Change
310,44140,"Colectomy, partial; with anastomosis",COLO,No Change
311,44141,"Colectomy, partial; with skin level cecostomy or colostomy",COLO,No Change
312,44143,"Colectomy, partial; with end colostomy and closure of distal segment (Hartmann type procedure)",COLO,No Change
313,44144,"Colectomy, partial; with resection, with colostomy or ileostomy and creation of mucofistula",COLO,No Change
314,44145,"Colectomy, partial; with coloproctostomy (low pelvic anastomosis)",COLO,No Change
315,44146,"Colectomy, partial; with coloproctostomy (low pelvic anastomosis), with colostomy",COLO,No Change
316,44147,"Colectomy, partial; abdominal and transanal approach",COLO,No Change
317,44150,"Colectomy, total, abdominal, without proctectomy; with ileostomy or ileoproctostomy",COLO,No Change
318,44151,"Colectomy, total, abdominal, without proctectomy; with continent ileostomy",COLO,No Change
319,44155,"Colectomy, total, abdominal, with proctectomy; with ileostomy",COLO,No Change
320,44156,"Colectomy, total, abdominal, with proctectomy; with continent ileostomy",COLO,No Change
321,44157,"Colectomy, total, abdominal, with proctectomy; with ileoanal anastomosis, includes loop ileostomy, and rectal mucosectomy, when performed",COLO,No Change
322,44158,"Colectomy, total, abdominal, with proctectomy; with ileoanal anastomosis, creation of ileal reservoir (S or J), includes loop ileostomy, and rectal mucosectomy, when performed",COLO,No Change
323,44160,"Colectomy, partial, with removal of terminal ileum with ileocolostomy",COLO,No Change
324,44188,"Laparoscopy, surgical, colostomy or skin level cecostomy",COLO,No Change
325,44204,"Laparoscopy, surgical; colectomy, partial, with anastomosis",COLO,No Change
326,44205,"Laparoscopy, surgical; colectomy, partial, with removal of terminal ileum with ileocolostomy",COLO,No Change
327,44206,"Laparoscopy, surgical; colectomy, partial, with end colostomy and closure of distal segment (Hartmann type procedure)",COLO,No Change
328,44207,"Laparoscopy, surgical; colectomy, partial, with anastomosis, with coloproctostomy (low pelvic anastomosis)",COLO,No Change
329,44208,"Laparoscopy, surgical; colectomy, partial, with anastomosis, with coloproctostomy (low pelvic anastomosis) with colostomy",COLO,No Change
330,44210,"Laparoscopy, surgical; colectomy, total, abdominal, without proctectomy, with ileostomy or ileoproctostomy",COLO,No Change
331,44211,"Laparoscopy, surgical; colectomy, total, abdominal, with proctectomy, with ileoanal anastomosis, creation of ileal reservoir (S or J), with loop ileostomy, includes rectal mucosectomy, when performed",COLO,No Change
332,44212,"Laparoscopy, surgical; colectomy, total, abdominal, with proctectomy, with ileostomy",COLO,No Change
333,44213,"Laparoscopy, surgical, mobilization (take-down) of splenic flexure performed in conjunction with partial colectomy (List separately in No changeition to primary procedure)",COLO,No Change
334,44227,"Laparoscopy, surgical, closure of enterostomy, large or small intestine, with resection and anastomosis",COLO,No Change
335,44320,Colostomy or skin level cecostomy;,COLO,No Change
336,44322,"Colostomy or skin level cecostomy; with multiple biopsies (eg, for congenital megacolon) (separate procedure)",COLO,No Change
337,44340,Revision of colostomy; simple (release of superficial scar) (separate procedure),COLO,No Change
338,44345,Revision of colostomy; complicated (reconstruction in-depth) (separate procedure),COLO,No Change
339,44346,Revision of colostomy; with repair of paracolostomy hernia (separate procedure),COLO,No Change
340,44604,"Suture of large intestine (colorrhaphy) for perforated ulcer, diverticulum, wound, injury or rupture (single or multiple perforations); without colostomy",COLO,No Change
341,44605,"Suture of large intestine (colorrhaphy) for perforated ulcer, diverticulum, wound, injury or rupture (single or multiple perforations); with colostomy",COLO,No Change
342,44620,"Closure of enterostomy, large or small intestine",COLO,No Change
343,44625,"Closure of enterostomy, large or small intestine; with resection and anastomosis other than colorectal",COLO,No Change
344,44626,"Closure of enterostomy, large or small intestine; with resection and colorectal anastomosis (eg, closure of Hartmann type procedure)",COLO,No Change
345,61105,Twist drill hole for subdural or ventricular puncture,CRAN,No Change
346,61107,"Twist drill hole(s) for subdural, intracerebral, or ventricular puncture; for implanting ventricular catheter, pressure recording device, or other intracerebral monitoring device",CRAN,No Change
347,61108,"Twist drill hole(s) for subdural, intracerebral, or ventricular puncture; for evacuation and/or drainage of subdural hematoma",CRAN,No Change
348,61120,"Burr hole(s) for ventricular puncture (including injection of gas, contrast media, dye, or radioactive material)",CRAN,No Change
349,61140,Burr hole(s) or trephine; with biopsy of brain or intracranial lesion,CRAN,No Change
350,61150,Burr hole(s) or trephine; with drainage of brain abscess or cyst,CRAN,No Change
351,61151,Burr hole(s) or trephine; with subsequent tapping (aspiration) of intracranial abscess or cyst,CRAN,No Change
352,61154,"Burr hole(s) with evacuation and/or drainage of hematoma, extradural or subdural",CRAN,No Change
353,61156,"Burr hole(s); with aspiration of hematoma or cyst, intracerebral",CRAN,No Change
354,61210,"Burr hole(s); for implanting ventricular catheter, reservoir, EEG electrode(s), pressure recording device, or other cerebral monitoring device (separate procedure)",CRAN,No Change
355,61250,"Burr hole(s) or trephine, supratentorial, exploratory, not followed by other surgery",CRAN,No Change
356,61253,"Burr hole(s) or trephine, infratentorial, unilateral or bilateral",CRAN,No Change
357,61304,"Craniectomy or craniotomy, exploratory; supratentorial",CRAN,No Change
358,61305,"Craniectomy or craniotomy, exploratory; infratentorial (posterior fossa)",CRAN,No Change
359,61312,"Craniectomy or craniotomy for evacuation of hematoma, supratentorial; extradural or subdural",CRAN,No Change
360,61313,"Craniectomy or craniotomy for evacuation of hematoma, supratentorial; intracerebral",CRAN,No Change
361,61314,"Craniectomy or craniotomy for evacuation of hematoma, infratentorial; extradural or subdural",CRAN,No Change
362,61315,"Craniectomy or craniotomy for evacuation of hematoma, infratentorial; intracerebellar",CRAN,No Change
363,61320,"Craniectomy or craniotomy, drainage of intracranial abscess; supratentorial",CRAN,No Change
364,61321,"Craniectomy or craniotomy, drainage of intracranial abscess; infratentorial",CRAN,No Change
365,61322,"Craniectomy or craniotomy, decompressive, with or without duraplasty, for treatment of intracranial hypertension, without evacuation of associated intraparenchymal hematoma; without lobectomy",CRAN,No Change
366,61323,"Craniectomy or craniotomy, decompressive, with or without duraplasty, for treatment of intracranial hypertension, without evacuation of associated intraparenchymal hematoma; with lobectomy",CRAN,No Change
367,61330,"Decompression of orbit only, transcranial approach",CRAN,No Change
368,61333,Exploration of orbit (transcranial approach); with removal of lesion,CRAN,No Change
369,61340,"Subtemporal cranial decompression (pseudotumor cerebri, slit ventricle syndrome)",CRAN,No Change
370,61343,"Craniectomy, suboccipital with cervical laminectomy for decompression of medulla and spinal cord, with or without dural graft (eg, Arnold-Chiari malformation)",CRAN,No Change
371,61345,"Other cranial decompression, posterior fossa",CRAN,No Change
372,61458,"Craniectomy, suboccipital; for exploration or decompression of cranial nerves",CRAN,No Change
373,61460,for section of 1 or more cranial nerves,CRAN,No Change
374,61510,"Craniectomy, trephination, bone flap craniotomy; for excision of brain tumor, supratentorial, except meningioma",CRAN,No Change
375,61512,"Craniectomy, trephination, bone flap craniotomy; for excision of meningioma, supratentorial",CRAN,No Change
376,61514,"Craniectomy, trephination, bone flap craniotomy; for excision of brain abscess, supratentorial",CRAN,No Change
377,61516,"Craniectomy, trephination, bone flap craniotomy; for excision or fenestration of cyst, supratentorial",CRAN,No Change
378,61518,"Craniectomy for excision of brain tumor, infratentorial or posterior fossa; except meningioma, cerebellopontine angle tumor, or midline tumor at base of skull",CRAN,No Change
379,61519,"Craniectomy for excision of brain tumor, infratentorial or posterior fossa; meningioma",CRAN,No Change
380,61520,"Craniectomy for excision of brain tumor, infratentorial or posterior fossa; cerebellopontine angle tumor",CRAN,No Change
381,61521,"Craniectomy for excision of brain tumor, infratentorial or posterior fossa; midline tumor at base of skull",CRAN,No Change
382,61522,"Craniectomy, infratentorial or posterior fossa; for excision of brain abscess",CRAN,No Change
383,61524,"Craniectomy, infratentorial or posterior fossa; for excision or fenestration of cyst",CRAN,No Change
384,61526,"Craniectomy, bone flap craniotomy, transtemporal (mastoid) for excision of cerebellopontine angle tumor;",CRAN,No Change
385,61530,"Craniectomy, bone flap craniotomy, transtemporal (mastoid) for excision of cerebellopontine angle tumor; combined with middle/posterior fossa craniotomy/craniectomy",CRAN,No Change
386,61531,Subdural implantation of strip electrodes through 1 or more burr or trephine hole(s) for long-term seizure monitoring,CRAN,No Change
387,61533,"Craniotomy with elevation of bone flap; for subdural implantation of an electrode array, for long-term seizure monitoring",CRAN,No Change
388,61534,Craniotomy with elevation of bone flap; for excision of epileptogenic focus without electrocorticography during surgery,CRAN,No Change
389,61535,"Craniotomy with elevation of bone flap; for removal of epidural or subdural electrode array, without excision of cerebral tissue (separate procedure)",CRAN,No Change
390,61536,"Craniotomy with elevation of bone flap; for excision of cerebral epileptogenic focus, with electrocorticography during surgery (includes removal of electrode array)",CRAN,No Change
391,61537,"Craniotomy with elevation of bone flap; for lobectomy, temporal lobe, without electrocorticography during surgery",CRAN,No Change
392,61538,"Craniotomy with elevation of bone flap; for lobectomy, temporal lobe, with electrocorticography during surgery",CRAN,No Change
393,61539,"Craniotomy with elevation of bone flap; for lobectomy, other than temporal lobe, partial or total, with electrocorticography during surgery",CRAN,No Change
394,61540,"Craniotomy with elevation of bone flap; for lobectomy, other than temporal lobe, partial or total, without electrocorticography during surgery",CRAN,No Change
395,61541,Craniotomy with elevation of bone flap; for transection of corpus callosum,CRAN,No Change
396,61543,Craniotomy with elevation of bone flap; for partial or subtotal (functional) hemispherectomy,CRAN,No Change
397,61544,Craniotomy with elevation of bone flap; for excision or coagulation of choroid plexus,CRAN,No Change
398,61545,Craniotomy with elevation of bone flap; for excision of craniopharyngioma,CRAN,No Change
399,61546,"Craniotomy for hypophysectomy or excision of pituitary tumor, intracranial approach",CRAN,No Change
400,61548,"Hypophysectomy or excision of pituitary tumor, transnasal or transseptal approach, nonstereotactic",CRAN,No Change
401,61566,Craniotomy with elevation of bone flap; for selective amygdalohippocampectomy,CRAN,No Change
402,61567,"Craniotomy with elevation of bone flap; for multiple subpial transections, with electrocorticography during surgery",CRAN,No Change
403,61570,Craniectomy or craniotomy; with excision of foreign body from brain,CRAN,No Change
404,61571,Craniectomy or craniotomy; with treatment of penetrating wound of brain,CRAN,No Change
405,61575,"Transoral approach to skull base, brain stem or upper spinal cord for biopsy, decompression or excision of lesion;",CRAN,No Change
406,61576,"Transoral approach to skull base, brain stem or upper spinal cord for biopsy, decompression or excision of lesion; requiring splitting of tongue and/or mandible (including tracheostomy)",CRAN,No Change
407,61580,"Craniofacial approach to anterior cranial fossa; extradural, including lateral rhinotomy, ethmoidectomy, sphenoidectomy, without maxillectomy or orbital exenteration",CRAN,No Change
408,61581,"Craniofacial approach to anterior cranial fossa; extradural, including lateral rhinotomy, orbital exenteration, ethmoidectomy, sphenoidectomy and/or maxillectomy",CRAN,No Change
409,61582,"Craniofacial approach to anterior cranial fossa; extradural, including unilateral or bifrontal craniotomy, elevation of frontal lobe(s), osteotomy of base of anterior cranial fossa",CRAN,No Change
410,61583,"Craniofacial approach to anterior cranial fossa; intradural, including unilateral or bifrontal craniotomy, elevation or resection of frontal lobe, osteotomy of base of anterior cranial fossa",CRAN,No Change
411,61584,"Orbitocranial approach to anterior cranial fossa, extradural, including supraorbital ridge osteotomy and elevation of frontal and/or temporal lobe(s); without orbital exenteration",CRAN,No Change
412,61585,"Orbitocranial approach to anterior cranial fossa, extradural, including supraorbital ridge osteotomy and elevation of frontal and/or temporal lobe(s); with orbital exenteration",CRAN,No Change
413,61586,"Bicoronal, transzygomatic and/or LeFort I osteotomy approach to anterior cranial fossa with or without internal fixation, without bone graft",CRAN,No Change
414,61590,"Infratemporal pre-auricular approach to middle cranial fossa (parapharyngeal space, infratemporal and midline skull base, nasopharynx), with or without disarticulation of the mandible, including parotidectomy, craniotomy, decompression and/or mobilization",CRAN,No Change
415,61591,"Infratemporal post-auricular approach to middle cranial fossa (internal auditory meatus, petrous apex, tentorium, cavernous sinus, parasellar area, infratemporal fossa) including mastoidectomy, resection of sigmoid sinus, with or without decompression and",CRAN,No Change
416,61592,"Orbitocranial zygomatic approach to middle cranial fossa (cavernous sinus and carotid artery, clivus, basilar artery or petrous apex) including osteotomy of zygoma, craniotomy, extra- or intradural elevation of temporal lobe",CRAN,No Change
417,61595,"Transtemporal approach to posterior cranial fossa, jugular foramen or midline skull base, including mastoidectomy, decompression of sigmoid sinus and/or facial nerve, with or without mobilization",CRAN,No Change
418,61598,"Transpetrosal approach to posterior cranial fossa, clivus or foramen magnum, including ligation of superior petrosal sinus and/or sigmoid sinus",CRAN,No Change
419,61600,"Resection or excision of neoplastic, vascular or infectious lesion of base of anterior cranial fossa; extradural",CRAN,No Change
420,61601,"Resection or excision of neoplastic, vascular or infectious lesion of base of anterior cranial fossa; intradural, including dural repair, with or without graft",CRAN,No Change
421,61605,"Resection or excision of neoplastic, vascular or infectious lesion of infratemporal fossa, parapharyngeal space, petrous apex; extradural",CRAN,No Change
422,61606,"Resection or excision of neoplastic, vascular or infectious lesion of infratemporal fossa, parapharyngeal space, petrous apex; intradural, including dural repair, with or without graft",CRAN,No Change
423,61607,"Resection or excision of neoplastic, vascular or infectious lesion of parasellar area, cavernous sinus, clivus or midline skull base; extradural",CRAN,No Change
424,61608,"Resection or excision of neoplastic, vascular or infectious lesion of parasellar area, cavernous sinus, clivus or midline skull base; intradural, including dural repair, with or without graft",CRAN,No Change
425,61615,"Resection or excision of neoplastic, vascular or infectious lesion of base of posterior cranial fossa, jugular foramen, foramen magnum, or C1-C3 vertebral bodies; extradural",CRAN,No Change
426,61616,"Resection or excision of neoplastic, vascular or infectious lesion of base of posterior cranial fossa, jugular foramen, foramen magnum, or C1-C3 vertebral bodies; intradural, including dural repair, with or without graft",CRAN,No Change
427,61618,"Secondary repair of dura for cerebrospinal fluid leak, anterior, middle or posterior cranial fossa following surgery of the skull base; by free tissue graft (eg, pericranium, fascia, tensor fascia lata, adipose tissue, homologous or synthetic grafts)",CRAN,No Change
428,61619,"Secondary repair of dura for cerebrospinal fluid leak, anterior, middle or posterior cranial fossa following surgery of the skull base; by local or regionalized vascularized pedicle flap or myocutaneous flap (including galea, temporalis, frontalis or occi",CRAN,No Change
429,61680,"Surgery of intracranial arteriovenous malformation; supratentorial, simple",CRAN,No Change
430,61682,"Surgery of intracranial arteriovenous malformation; supratentorial, complex",CRAN,No Change
431,61684,"Surgery of intracranial arteriovenous malformation; infratentorial, simple",CRAN,No Change
432,61686,"Surgery of intracranial arteriovenous malformation; infratentorial, complex",CRAN,No Change
433,61690,"Surgery of intracranial arteriovenous malformation; dural, simple",CRAN,No Change
434,61692,"Surgery of intracranial arteriovenous malformation; dural, complex",CRAN,No Change
435,61697,"Surgery of complex intracranial aneurysm, intracranial approach; carotid circulation",CRAN,No Change
436,61698,"Surgery of complex intracranial aneurysm, intracranial approach; vertebrobasilar circulation",CRAN,No Change
437,61700,"Surgery of simple intracranial aneurysm, intracranial approach; carotid circulation",CRAN,No Change
438,61702,"Surgery of simple intracranial aneurysm, intracranial approach; vertebrobasilar circulation",CRAN,No Change
439,61703,"Surgery of intracranial aneurysm, cervical approach by application of occluding clamp to cervical carotid artery (Selverstone-Crutchfield type)",CRAN,No Change
440,61705,"Surgery of aneurysm, vascular malformation or carotid-cavernous fistula; by intracranial and cervical occlusion of carotid artery",CRAN,No Change
441,61708,"Surgery of aneurysm, vascular malformation or carotid-cavernous fistula; by intracranial electrothrombosis",CRAN,No Change
442,61710,"Surgery of aneurysm, vascular malformation or carotid-cavernous fistula; by intra-arterial embolization, injection procedure, or balloon catheter",CRAN,No Change
443,61711,"Anastomosis, arterial, extracranial-intracranial (eg, middle cerebral/cortical) arteries",CRAN,No Change
444,61720,"Creation of lesion by stereotactic method, including burr hole(s) and localizing and recording techniques, single or multiple stages; globus pallidus or thalamus",CRAN,No Change
445,61735,"Creation of lesion by stereotactic method, including burr hole(s) and localizing and recording techniques, single or multiple stages; subcortical structure(s) other than globus pallidus or thalamus",CRAN,No Change
446,61736,"Single-trajectory laser interstitial thermal therapy (LITT) of 1 simple intracranial lesion, including burr hole, with magnetic resonance imaging guidance",CRAN,No change
447,61737,"Multiple-trajectory laser interstitial thermal therapy (LITT) of complex intracranial lesion, including burr hole",CRAN,No change
448,61750,"Stereotactic biopsy, aspiration, or excision, including burr hole(s), for intracranial lesion",CRAN,No Change
449,61751,"Stereotactic biopsy, aspiration, or excision, including burr hole(s), for intracranial lesion; with computed tomography and/or magnetic resonance guidance",CRAN,No Change
450,61760,Stereotactic implantation of depth electrodes into the cerebrum for long-term seizure monitoring,CRAN,No Change
451,61770,"Stereotactic localization, including burr hole(s), with insertion of catheter(s) or probe(s) for placement of radiation source",CRAN,No Change
452,61850,"Twist drill or burr hole(s) for implantation of neurostimulator electrodes, cortical",CRAN,No Change
453,61860,"Craniectomy or craniotomy for implantation of neurostimulator electrodes, cerebral, cortical",CRAN,No Change
454,61863,"Twist drill, burr hole, craniotomy, or craniectomy with stereotactic implantation of neurostimulator electrode array in subcortical site (eg, thalamus, globus pallidus, subthalamic nucleus, periventricular, periaqueductal gray), without use of intraoperative microelectrode recording; first array",CRAN,No Change
455,61867,"Twist drill, burr hole, craniotomy, or craniectomy with stereotactic implantation of neurostimulator electrode array in subcortical site (eg, thalamus, globus pallidus, subthalamic nucleus, periventricular, periaqueductal gray), with use of intraoperative microelectrode recording; first array",CRAN,No Change
456,61870,"Craniectomy for implantation of neurostimulator electrodes, cerebellar; cortical",CRAN,No Change
457,61880,Revision or removal of intracranial neurostimulator electrodes,CRAN,No Change
458,62000,"Elevation of depressed skull fracture; simple, extradural",CRAN,No Change
459,62005,"Elevation of depressed skull fracture; compound or comminuted, extradural",CRAN,No Change
460,62010,Elevation of depressed skull fracture; with repair of dura and/or debridement of brain,CRAN,No Change
461,62100,"Craniotomy for repair of dural/cerebrospinal fluid leak, including surgery for rhinorrhea/otorrhea",CRAN,No Change
462,62120,"Repair of encephalocele, skull vault, including cranioplasty",CRAN,No Change
463,62121,"Craniotomy for repair of encephalocele, skull base",CRAN,No Change
464,62161,"Neuroendoscopy, intracranial; with dissection of adhesions, fenestration of septum pellucidum or intraventricular cysts (including placement, replacement, or removal of ventricular catheter)",CRAN,No Change
465,62163,"Neuroendoscopy, intracranial; with retrieval of foreign body",CRAN,No Change
466,62164,"Neuroendoscopy, intracranial; with excision of brain tumor, including placement of external ventricular catheter for drainage",CRAN,No Change
467,62165,"Neuroendoscopy, intracranial; with excision of pituitary tumor, transnasal or trans-sphenoidal approach",CRAN,No Change
468,62200,"Ventriculocisternostomy, third ventricle;",CRAN,No Change
469,62201,"Ventriculocisternostomy, third ventricle; stereotactic, neuroendoscopic method",CRAN,No Change
470,59100,"Hysterotomy, abdominal (e.g., for hydatidiform mole, abortion)",CSEC,No Change
471,59510,"Routine obstetric care including antepartum care, cesarean delivery, and postpartum care",CSEC,No Change
472,59514,Cesarean delivery only;,CSEC,No Change
473,59515,Cesarean delivery only; including postpartum care,CSEC,No Change
474,59618,"Routine obstetric care including antepartum care, cesarean delivery, and postpartum care, following attempted vaginal delivery after previous cesarean delivery",CSEC,No Change
475,59620,"Cesarean delivery only, following attempted vaginal delivery after previous cesarean delivery;",CSEC,No Change
476,59622,"Cesarean delivery only, following attempted vaginal delivery after previous cesarean delivery; including postpartum care",CSEC,No Change
477,59857,"Induced abortion, by 1 or more vaginal suppositories (e.g., prostaglandin) with or without cervical dilation (e.g., laminaria), including hospital admission and visits, delivery of fetus and secundines; with hysterotomy (failed medical evacuation)",CSEC,No Change
478,22532,"Arthrodesis, lateral extracavitary technique, including minimal discectomy to prepare interspace (other than for decompression); thoracic",FUSN,No Change
479,22533,"Arthrodesis, lateral extracavitary technique, including minimal discectomy to prepare interspace (other than for decompression); lumbar",FUSN,No Change
480,22548,"Arthrodesis, anterior transoral or extraoral technique, clivus-C1-C2 (atlas-axis), with or without excision of odontoid process",FUSN,No Change
481,22551,"Arthrodesis, anterior interbody, including disc space preparation, discectomy, osteophytectomy and decompression of spinal cord and/or nerve roots; cervical below C2",FUSN,No Change
482,22554,"Arthrodesis, anterior interbody technique, including minimal discectomy to prepare interspace (other than for decompression); cervical below C2",FUSN,No Change
483,22556,"Arthrodesis, anterior interbody technique, including minimal discectomy to prepare interspace (other than for decompression); thoracic",FUSN,No Change
484,22558,"Arthrodesis, anterior interbody technique, including minimal discectomy to prepare interspace (other than for decompression); lumbar",FUSN,No Change
485,22586,"Arthrodesis, pre-sacral interbody technique, including disc space preparation, discectomy, with posterior instrumentation, with image guidance, includes bone graft when performed, L5-S1 interspace",FUSN,No Change
486,22590,"Arthrodesis, posterior technique, craniocervical (occiput-C2)",FUSN,No Change
487,22595,"Arthrodesis, posterior technique, atlas-axis (C1-C2)",FUSN,No Change
488,22600,"Arthrodesis, posterior or posterolateral technique, single level; cervical below C2 segment",FUSN,No Change
489,22610,"Arthrodesis, posterior or posterolateral technique, single level; thoracic (with lateral transverse technique, when performed)",FUSN,No Change
490,22612,"Arthrodesis, posterior or posterolateral technique, single level; lumbar (with lateral transverse technique, when performed)",FUSN,No Change
491,22630,"Arthrodesis, posterior interbody technique, including laminectomy and/or discectomy to prepare interspace (other than for decompression), single interspace; lumbar",FUSN,No Change
492,22633,"Arthrodesis, combined posterior or posterolateral technique with posterior interbody technique including laminectomy and/or discectomy sufficient to prepare interspace (other than for decompression), single interspace and segment; lumbar",FUSN,No Change
493,22800,"Arthrodesis, posterior, for spinal deformity, with or without cast; up to 6 vertebral segments",FUSN,No Change
494,22802,"Arthrodesis, posterior, for spinal deformity, with or without cast; 7 to 12 vertebral segments",FUSN,No Change
495,22804,"Arthrodesis, posterior, for spinal deformity, with or without cast; 13 or more vertebral segments",FUSN,No Change
496,22808,"Arthrodesis, anterior, for spinal deformity, with or without cast; 2 to 3 vertebral segments",FUSN,No Change
497,22810,"Arthrodesis, anterior, for spinal deformity, with or without cast; 4 to 7 vertebral segments",FUSN,No Change
498,22812,"Arthrodesis, anterior, for spinal deformity, with or without cast; 8 or more vertebral segments",FUSN,No Change
499,27280,"Arthrodesis, open, sacroiliac joint, including obtaining bone graft, including instrumentation, when performed",FUSN,No Change
500,23615,"Open treatment of proximal humeral (surgical or anatomical neck) fracture, includes internal fixation, when performed, includes repair of tuberosity(s), when performed;",FX,No Change
501,23616,"Open treatment of proximal humeral (surgical or anatomical neck) fracture, includes internal fixation, when performed, includes repair of tuberosity(s), when performed; with proximal humeral prosthetic replacement",FX,No Change
502,23630,"Open treatment of greater humeral tuberosity fracture, includes internal fixation, when performed",FX,No Change
503,23670,"Open treatment of shoulder dislocation, with fracture of greater humeral tuberosity, includes internal fixation, when performed",FX,No Change
504,23680,"Open treatment of shoulder dislocation, with surgical or anatomical neck fracture, includes internal fixation, when performed",FX,No Change
505,24515,"Open treatment of humeral shaft fracture with plate/screws, with or without cerclage",FX,No Change
506,24516,"Treatment of humeral shaft fracture, with insertion of intramedullary implant, with or without cerclage and/or locking screws",FX,No Change
507,24545,"Open treatment of humeral supracondylar or transcondylar fracture, includes internal fixation, when performed; without intercondylar extension",FX,No Change
508,24546,"Open treatment of humeral supracondylar or transcondylar fracture, includes internal fixation, when performed; with intercondylar extension",FX,No Change
509,24575,"Open treatment of humeral epicondylar fracture, medial or lateral, includes internal fixation, when performed",FX,No Change
510,24579,"Open treatment of humeral condylar fracture, medial or lateral, includes internal fixation, when performed",FX,No Change
511,24586,Open treatment of periarticular fracture and/or dislocation of the elbow (fracture distal humerus and proximal ulna and/or proximal radius);,FX,No Change
512,24587,Open treatment of periarticular fracture and/or dislocation of the elbow (fracture distal humerus and proximal ulna and/or proximal radius); with implant arthroplasty,FX,No Change
513,24635,"Open treatment of Monteggia type of fracture dislocation at elbow (fracture proximal end of ulna with dislocation of radial head), includes internal fixation, when performed",FX,No Change
514,24665,"Open treatment of radial head or neck fracture, includes internal fixation or radial head excision, when performed;",FX,No Change
515,24666,"Open treatment of radial head or neck fracture, includes internal fixation or radial head excision, when performed; with radial head prosthetic replacement",FX,No Change
516,24685,"Open treatment of ulnar fracture, proximal end (eg, olecranon or coronoid process[es]), includes internal fixation, when performed",FX,No Change
517,25337,"Reconstruction for stabilization of unstable distal ulna or distal radioulnar joint, secondary by soft tissue stabilization (eg, tendon transfer, tendon graft or weave, or tenodesis) with or without open reduction of distal radioulnar joint",FX,No Change
518,25515,"Open treatment of radial shaft fracture, includes internal fixation, when performed",FX,No Change
519,25525,"Open treatment of radial shaft fracture, includes internal fixation, when performed, and open treatment of distal radioulnar joint dislocation (Galeazzi fracture/ dislocation), includes percutaneous skeletal fixation when performed",FX,No Change
520,25526,"Open treatment of radial shaft fracture, includes internal fixation, when performed, and open treatment of distal radioulnar joint dislocation (Galeazzi fracture/ dislocation), includes internal fixation, when performed, includes repair of triangular fibrocartilage complex",FX,No Change
521,25545,"Open treatment of ulnar shaft fracture, includes internal fixation, when performed",FX,No Change
522,25574,"Open treatment of radial AND ulnar shaft fractures, with internal fixation, when performed; of radius OR ulna",FX,No Change
523,25575,"Open treatment of radial AND ulnar shaft fractures, with internal fixation, when performed; of radius AND ulna",FX,No Change
